word,pos
ក,ន.
ក៏,ឈ.
កក,"គុ.កិ., គុ."
កកកុញ,គុ.កិ.
កកស្ទះ,កិ.
កក់,កិ.
កក់ក្ដៅ,កិ.
កករ,ន.
កករចិត្ត,ន.
កកាត,គុ.
កកាយ,កិ.
កកិចកកុច,គុ.
កកិត,កិ.
កកិល,កិ.
កកូរ,កិ.
កកូរកកាយ,កិ.
កកេបកកាប,"គុ., កិ."
កកេរ,កិ.
កកេះ,កិ.
កកែកកកោក,"គុ.កិ., ន."
កកែកករ,"គុ.កិ., ន."
កកែងកកោង,"គុ., ន."
កកែប,ន.
កកោក,"គុ.កិ., ឧ."
កកោស,កិ.
កកោះ,ន.
កក្កដ,ន.
កក្កដា,ន.
កក្រិត,គុ.
កក្រើក,កិ.
កក្រើកញាប់ញ័រ,កិ.
កក្រើករំជួល,កិ.
កក្រើករំពើក,កិ.
កក្រោះ,គុ.
កក្លាក់,គុ.កិ.
កក្លូក,គុ.កិ.
កក្អាក,គុ.កិ.
កក្អាកកក្អាយ,"គុ., គុ.កិ."
កក្អាយ,ប.
កក្អិច,គុ.កិ.
កក្អិល,"គុ.កិ., គុ."
កក្អឹក,"គុ.កិ., គុ."
កក្អៀក,"គុ.កិ., ឧ."
កក្អៀច,គុ.កិ.
កខិកកខក់,កិ.
កខិបកខុប,"គុ.កិ., គុ."
កខឹក,"គុ.កិ., ឧ."
កខុប,ន.
កខូស,ឧ.
កខ្វក់,គុ.
កខ្វិក,ប.
កខ្វេសកខ្វាស,"គុ.កិ., គុ."
កង,"គុ.កិ., គុ."
កងកម្លាំង,ន.
កងកម្លាំងប្រដាប់អាវុធ,ន.
កងកាំភ្លើងធំ,ន.
កងទ្រនាប់,ន.
កងទ័ពជើងទឹក,ន.
កងនាវា,ន.
កងរាជអាវុធហត្ថ,ន.
កងរឹត,ន.
កងអន្តរាគមន៍,ន.
កងក,ន.
កងទងឈូក,ន.
កងរាក់,ន.
កង់,ន.
កងៗ,ឧ.
កងកន់,ន.
កងកេង,ន.
កងគ្រាប់,ន.
កងចល័ត,ន.
កងចៅ,ន.
កងឈ្លប,ន.
កង់ឌុប,ន.
កងទ័ព,ន.
កងទ័ពជើងគោក,ន.
កងទ័ពអាកាស,ន.
កង់ទីន,ន.
កង់បី,ន.
កងព័ន្ធ,ន.
កងពល,ន.
កងពលតូច,ន.
កងពលធំ,ន.
កងមាស,ន.
កង់យោង,ន.
កងយោធពលខេមរភូមិន្ទ,ន.
កង់រវៃ,ន.
កងវរសេនាតូច,ន.
កងវរសេនាធំ,ន.
កង់សឺគួរ,ន.
កងសោយ,ន.
កងអនុសេនាតូច,ន.
កងអនុសេនាធំ,ន.
កង្កាញ់,កិ.
កង្កុញ,កិ.
កង្កួច,កិ.
កង្កួញ,កិ.
កង្កែប,ន.
កង្កែបកូប,ន.
កង្កែបបោប,ន.
កង្កែបប្រុយ,ន.
កង្កែបអាចម៍គោ,ន.
កង្កែបអាចម៍គោហ៊ានលោតខាំពស់វែក,
កង្ខា,ន.
កង្ខើញ,កិ.
កង្វល់,ន.
ស្រុកកើតកង្វល់,
កង្វាក់,"គុ., ន."
កង្វារ,ន.
កង្វិន,"គុ., ន."
កង្វេរ,ន.
កង្វះ,ន.
កង្វះខាត,ន.
កង្ហារ,ន.
កង្ហារអគ្គិសនី,ន.
កង្ហិច,ន.
កង្ហែន,ន.
កច្ចជាតិ,ន.
កច្ចាយនូបត្ថម្ភកៈ,ន.
កច្ចាយនៈ,ន.
កញ្ចក,ន.
កញ្ចក់,ន.
កញ្ចក់ភ្នែក,ន.
កញ្ចប់,ន.
កញ្ចប់មាត់,ន.
កញ្ចឹបកញ្ចប់,ន.
កញ្ចប់កញ្ចូវ,"កិ., គុ."
កញ្ចាញ់ចេក,ន.
កញ្ចាញ់ច្រាស,ន.
កញ្ចាម,ន.
កញ្ចាស់,គុ.
កញ្ចឹងក,ន.
កញ្ចុះ,ន.
កញ្ចូញ,ន.
កញ្ចែ,ន.
កញ្ចោង,ន.
កញ្ចោត,គុ.
កញ្ចោប,ន.
កញ្ចុំ,ន.
កញ្ចាំង,ន.
កញ្ច្រង់,ន.
កញ្ច្រឹក,គុ.កិ.
កញ្ច្រឺប,គុ.
កញ្ច្រែង,ន.
កញ្ឆក់,កិ.
កញ្ឆក់កញ្ឆែង,កិ.
កញ្ឆត,គុ.
កញ្ឆល,កិ.
កញ្ឆា,ន.
កញ្ឆាក់កញ្ឆែង,កិ.
កញ្ឆាញ,គុ.
កញ្ឆាត់,"កិ., ន."
កញ្ឆិត,គុ.
កញ្ឆិល,គុ.
កញ្ឆឹម,គុ.
កញ្ឆួង,គុ.
កញ្ឆើញ,គុ.
កញ្ឆើល,គុ.
កញ្ឆៀវ,ន.
កញ្ឆេង,កិ.
កញ្ឆែត,ន.
កញ្ឆែវ,"គុ.កិ., គុ."
កញ្ឆោត,គុ.
កញ្ជង់,គុ.កិ.
កញ្ជនជៃ,ន.
កញ្ជប់,គុ.
កញ្ជរ,ន.
កញ្ជាក់,ន.
កញ្ជាក់ស្លា,ន.
កញ្ជាត,ន.
កញ្ជុសមាន់,ន.
កញ្ជួ,គុ.
កញ្ជើ,ន.
កញ្ជើជំពោះ,ន.
កញ្ជើបាយដាច,ន.
កញ្ជែះ,កិ.
មនុស្សកញ្ជែះច្រក,ន.
កញ្ជោ,ន.
កញ្ជះ,"គុ., ន."
កញ្ជះកញ្ជាយ,"កិ., គុ."
កញ្ជ្រក់,គុ.
កញ្ជ្រម,គុ.
កញ្ជ្រឹល,ន.
កញ្ជ្រូក,ន.
កញ្ជ្រួច,ន.
កញ្ជ្រៀច,ន.
កញ្ជ្រៀប,ន.
កញ្ជ្រៀវ,កិ.
កញ្ជ្រោក,កិ.
កញ្ជ្រោកបោកបាច,កិ.
កញ្ជ្រោង,ន.
កញ្ជ្រោល,កិ.
កញ្ឈូស,កិ.
កញ្ញា,ន.
កញ្ញាកិត្តិយស,ន.
កដប,ន.
កដ្ឋគ្គិ,ន.
កឋិន,ន.
កឋិនត្ថារកិច្ច,ន.
កណសិលា,ន.
កណា,ន.
កណិការ,ន.
កណ្ដក់,គុ.
កណ្ដកសញ្ញា,ន.
កណ្ដប,ន.
កណ្ដាច,គុ.
កណ្ដាច់,ន.
កណ្ដាច់លែះ,គុ.
កណ្ដាញ់,ន.
កណ្ដាញ់ព្រាយ,ន.
កណ្ដាប់,ន.
កណ្ដាប់ចក្រវាល,
កណ្ដាប់ស្រែង,
កណ្ដាប់ចង្អេរ,ន.
កណ្ដាប់ដៃ,"គុ., ន."
កណ្ដាប់ដៃដែក,ន.
កណ្ដារ,ន.
កណ្ដាល,ន.
ឋានកណ្ដាល,ន.
កណ្ដាលស្ទឹង,ន.
កណ្ដាស់,កិ.
កណ្ដឹង,ន.
កណ្ដឹងគោ,ន.
កណ្ដឹងដំរី,ន.
កណ្ដឹមឆែប!,ឧ.
កណ្ដុក,គុ.
ធ្ងន់ចិត្តកណ្ដុក,គុ.កិ.
កណ្ដុរ,ន.
កណ្ដុរប្រែង,ន.
កណ្ដូង,គុ.
សក់កណ្ដូង,ន.
កណ្ដូប,ន.
កណ្ដូបសេះ,ន.
កណ្ដួយ,ន.
កណ្ដៀខ្មូត,ន.
កណ្ដៀង,ន.
កណ្ដៀត,កិ.
កណ្ដៀតក្អម,ន.
កណ្ដៀទៀ,ន.
កណ្ដៀន,គុ.
កណ្ដៀរ,ន.
កណ្ដៀវ,ន.
ឆ្នាំនេះកណ្ដៀវសោយរាជ្យហើយ,
កណ្ដេង,ន.
កណ្ដែងកណ្ដោច,គុ.
កណ្ដោច,"គុ.កិ., គុ."
កណ្ដោចកណ្ដែង,គុ.កិ.
កណ្ដោល,ន.
កណ្ដោលបាត,ន.
កណ្ដុំឆែប!,ឧ.
កណ្ឋជៈ,គុ.
កណ្ឌ,ន.
ទុតិយកណ្ឌ,ន.
កណ្ណធារ,ន.
កណ្ណធារកិច្ច,ន.
កណ្ហាជិនា,ន.
កត់,កិ.
បញ្ញាកត់,ន.
កតញ្ញុតា,ន.
កតញ្ញុតាធម៌,ន.
កតញ្ញូ,"គុ., ន."
កតវេទិតា,ន.
